标题,小区名,房屋详情,关注人数/发布时间,总价,单价,经度,纬度,格式化地址,地址级别
幸福里大三房 好楼层 前排无遮挡 看房预约,华润幸福里 ,3室1厅 | 115.32平米 | 南 北 | 其他 | 中楼层(共26层)  | 塔楼,2人关注 / 1个月以前发布,212万,"18,384元/平",118.888859,32.130680,江苏省南京市栖霞区华润幸福里,住宅区
江北新区 五桥口 龙湖天街 金陵旁 含车位储藏室,中交锦兰荟 ,3室1厅 | 116.59平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 2个月以前发布,187万,"16,040元/平",118.600299,32.049511,江苏省南京市浦口区中交·锦兰荟,住宅区
百家湖CBD 全南户型 满五年 生活方便,21世纪国际公寓西区 ,2室2厅 | 81.35平米 | 南 北 | 其他 | 中楼层(共31层)  | 塔楼,2人关注 / 2个月以前发布,208万,"25,569元/平",,,,
S8高新站地铁口 南北通透 刚需三室 采光好 业主诚心卖,旭日学府 ,3室2厅 | 92.28平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 2个月以前发布,145万,"15,714元/平",118.796624,32.059344,江苏省南京市,市
铁心桥地铁口 交通方便 小区环境好 采光好,晓村和苑东 ,3室1厅 | 89.01平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,159万,"17,864元/平",118.734514,31.955501,江苏省南京市雨花台区晓村和苑,住宅区
楼层采光没问题，好楼层，大三房,乐业东苑 ,3室1厅 | 88.82平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,120万,"13,511元/平",118.698206,31.937670,江苏省南京市雨花台区乐业东苑,住宅区
奥南精装小两房，居家装修，业主诚心出售。,清荷园北园 ,2室1厅 | 59.81平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,118万,"19,730元/平",118.716111,31.973908,江苏省南京市建邺区清荷园北园,住宅区
雨核地铁口    一楼带院子   小二房   房东诚心出售,梅苑小区 ,2室1厅 | 52.83平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,3人关注 / 1个月以前发布,85万,"16,090元/平",118.727127,31.955047,江苏省南京市雨花台区梅苑小区,住宅区
此房满五年不唯一 南北户型方正 带电梯上学方便,北苑之星 ,2室2厅 | 88.8平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,4人关注 / 1个月以前发布,230万,"25,901元/平",118.822411,32.100928,江苏省南京市玄武区北苑之星,住宅区
天印大道地铁口 满五年唯一 精装三房 楼层佳 换房出售,书香名门 ,3室2厅 | 95.27平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 4个月以前发布,169万,"17,740元/平",118.863843,31.939673,江苏省南京市江宁区书香名门(东南门),兴趣点
南京南站 两房公寓 通燃气 全明户型 万科物业,万科都荟南苑B区 ,2室1厅 | 65.99平米 | 东 | 其他 | 中楼层(共20层)  | 板楼,4人关注 / 4个月以前发布,132万,"20,004元/平",118.808040,31.963559,江苏省南京市雨花台区万科都荟南苑b区,门址
燕江新城乐居雅 楼层好 简装房主诚心出售,乐居雅花园 ,2室1厅 | 78.39平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,128万,"16,329元/平",118.847787,32.131055,江苏省南京市栖霞区乐居雅花园,住宅区
新街口商圈 朝天宫5号线地铁口全明边户,通宇花园 ,3室2厅 | 115.18平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,5人关注 / 6个月以前发布,330万,"28,651元/平",,,,
居家精装  大三房  总价低  院子 生活方便,翠岛花城 ,3室2厅 | 119.49平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,35人关注 / 一年前发布,375万,"31,384元/平",118.788291,31.981834,江苏省南京市雨花台区翠岛花城,住宅区
春秀苑三房， 采光好位置佳，自主保养很好， 诚心出售,天景山公寓春秀苑 ,3室2厅 | 92.5平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,129万,"13,946元/平",118.876279,31.953349,江苏省南京市江宁区天景山公寓春秀苑,住宅区
两房中楼层 满五年 采光无遮挡 换房急售,玉兰园 ,2室2厅 | 68.4平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,73万,"10,673元/平",118.649902,32.533256,江苏省南京市六合区玉兰园,兴趣点
江核隧道口 雅居乐 开发商精装 诚心售房 看房方便,雅居乐滨江国际三四期 ,4室2厅 | 142.24平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,398万,"27,981元/平",118.673993,32.062090,江苏省南京市浦口区雅居乐滨江国际三四期,住宅区
此房满五 新街口张府园 带电梯居家装修 小区闹中取静,武学园小区 ,2室1厅 | 58.72平米 | 东南 | 其他 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,235万,"40,021元/平",118.786100,32.033209,江苏省南京市秦淮区武学园小区,住宅区
跃层通透户型，前后无遮挡，拎包入住百万装修,山居十六院 ,4室2厅 | 177.93平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,13人关注 / 3个月以前发布,410万,"23,043元/平",118.896872,32.104984,江苏省南京市栖霞区山居十六院,住宅区
S6地铁，有电梯，2018商品房，11楼到顶小高层.,银亿东城第九街区北区 ,2室2厅 | 76.68平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,103万,"13,433元/平",,,,
华汇康城，不爬坡，刚需三房，看房方便。,华汇康城 ,3室2厅 | 127平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,165万,"12,993元/平",118.932346,32.045799,江苏省南京市江宁区华汇康城,住宅区
品质小区 满五年 户型方正 装修好 业主诚心卖,柏悦澜庭 ,4室2厅 | 177.2平米 | 南 北 | 其他 | 11层  | 板楼,3人关注 / 24天以前发布,580万,"32,732元/平",118.753470,31.989731,江苏省南京市雨花台区柏悦澜庭,住宅区
精装修138平 含产权车位 纯边户 视野无遮挡 看房方便,金浦御龙湾H区 ,4室2厅 | 138.5平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 6个月以前发布,416万,"30,037元/平",118.820676,32.112269,江苏省南京市栖霞区金浦·御龙湾H区,住宅区
视野好，纯湖景，全天采光不挡。,金地湖城艺境 ,3室2厅 | 95.95平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 20天以前发布,225万,"23,450元/平",118.980121,32.126603,江苏省南京市栖霞区金地湖城艺境,住宅区
房户型方正 通透户型 视野宽阔,颐和九里 ,4室2厅 | 128.65平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,3人关注 / 2个月以前发布,215万,"16,713元/平",118.592988,32.024453,江苏省南京市浦口区颐和九里,住宅区
小区前排  采光好  视野好 户型方正,万科金色领域 ,3室1厅 | 88.21平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,192万,"21,767元/平",118.983628,32.133179,江苏省南京市栖霞区万科金色领域,住宅区
南部新城 边户两房 采光无遮挡 6号线出口 楼层好,康业里 ,2室1厅 | 62.88平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,130万,"20,675元/平",,,,
虹悦城商圈 银城物业 满五年，精装修，楼层好，位置佳,时光澔韵 ,2室1厅 | 83.32平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,49人关注 / 一年前发布,228万,"27,365元/平",118.752855,31.985735,江苏省南京市雨花台区时光澔韵,住宅区
地铁口 工人新村 3楼 精装修 南北两房 采光好 拎包住,工人新村 ,2室1厅 | 55.21平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4天以前发布,138万,"24,996元/平",118.779157,32.079997,江苏省南京市鼓楼区工人新村,村庄
金陵华兴 满五唯一 社区配套齐全 看房方便,富力尚悦居一期 ,3室1厅 | 102.64平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,2人关注 / 2个月以前发布,180万,"17,538元/平",118.675524,31.917134,江苏省南京市雨花台区富力尚悦居一期,住宅区
小区绿化好，爬楼方便，诚心出售,御水湾花园 ,2室1厅 | 88.6平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 1个月以前发布,285万,"32,168元/平",118.816812,32.015387,江苏省南京市秦淮区御水湾花园,住宅区
虎踞路 靠秦淮河 中间楼层采光好 芳凤二十九 离校近,虎踞路 ,2室1厅 | 61.74平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,346万,"56,042元/平",118.758141,32.049477,江苏省南京市鼓楼区虎踞路,道路
新上东山主城 好楼层居家两房 配套成熟 诚心出售,东城风景 ,2室1厅 | 74.11平米 | 北 | 精装 | 中楼层(共19层)  | 板塔结合,6人关注 / 4个月以前发布,100万,"13,494元/平",118.858952,31.954342,江苏省南京市江宁区东城风景,住宅区
复试2层，楼层好，采光好，环境好，总价低配套设施..,中骏六号街区（琉金街区) ,2室1厅 | 73.08平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 17天以前发布,35万,"4,790元/平",118.849426,31.781718,江苏省南京市江宁区中骏六号街区,住宅区
精装交付 采光充足 看中可谈 配套设施齐全 交通方便,锦麟融誉府 ,4室2厅 | 143.67平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 4个月以前发布,468万,"32,575元/平",118.825097,32.108450,江苏省南京市栖霞区锦麟融誉府,住宅区
清河新寓一村 双汇文可用 边户 交通便利,清河新寓一村 ,2室1厅 | 63.17平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,335万,"53,032元/平",118.731278,32.042111,江苏省南京市鼓楼区清河新寓一村,住宅区
大阳光房 视野开阔 精装修 业主诚意出售,大华锦绣华城榴美颂 ,3室2厅 | 120.07平米 | 南 北 | 其他 | 高楼层(共9层)  | 板楼,3人关注 / 一年前发布,195万,"16,241元/平",,,,
通透户型 满五年中间楼层看中价格可谈,明发滨江一期 ,3室1厅 | 124.23平米 | 南 | 简装 | 中楼层(共12层)  | 板塔结合,2人关注 / 14天以前发布,186万,"14,973元/平",118.796624,32.059344,江苏省南京市,市
上海路水利厅房改房 户型赞 采光炸裂,上海路9号 ,5室1厅 | 118.52平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,6人关注 / 一年前发布,525万,"44,297元/平",118.776257,32.044828,江苏省南京市鼓楼区上海路9号,门址
楼层好总价低精装修视野宽阔采光好,苏宁紫金嘉悦 ,1室0厅 | 29.86平米 | 北 | 精装 | 中楼层(共16层)  | 塔楼,4人关注 / 3个月以前发布,30万,"10,047元/平",118.887401,32.096933,江苏省南京市玄武区苏宁·紫金嘉悦,兴趣点
"地铁口，一梯一户,入户门厅 ,精装修自住",翠屏诚园 ,3室2厅 | 95.4平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 7天以前发布,243万,"25,472元/平",118.833824,31.869836,江苏省南京市江宁区翠屏诚园,住宅区
房子楼层 装修 视野都不错，业主诚心卖房,弘阳旭日上城二区 ,3室1厅 | 118.33平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,5人关注 / 1个月以前发布,215万,"18,170元/平",118.730190,32.139972,江苏省南京市浦口区弘阳·旭日上城二区,住宅区
省中医院汉中门上海路地铁口 鸿发大厦商品房电梯双卫,鸿发大厦 ,3室1厅 | 106.45平米 | 东南 | 其他 | 低楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,289万,"27,149元/平",118.770624,32.041703,江苏省南京市秦淮区鸿发大厦,住宅区
中交锦合101平三房出售，好楼层，67.8万 看中可谈,中交锦合 ,3室2厅 | 101.18平米 | 南 | 其他 | 低楼层(共22层)  | 暂无数据,0人关注 / 14天以前发布,67.8万,"6,701元/平",119.023498,31.662434,江苏省南京市溧水区中交·锦合,住宅区
河西 新百花园 中楼层 三房边户 居家装修 诚心卖,新百花园 ,3室2厅 | 94.2平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 2个月以前发布,286万,"30,361元/平",118.754616,32.013494,江苏省南京市建邺区新百花园,住宅区
迈皋桥DT口三房带电梯小区中间位置业主诚心出售,和燕花苑 ,3室2厅 | 112.06平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,4人关注 / 6个月以前发布,238万,"21,239元/平",118.806462,32.105348,江苏省南京市栖霞区和燕花苑,住宅区
近地铁 好楼层 不临高架 精装 满五唯一 随时可看,北晨雅居 ,2室1厅 | 92.24平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,122万,"13,227元/平",,,,
远眺紫金山 近看新街口 视野开阔 无任何遮挡,丹凤新寓 ,2室1厅 | 69.85平米 | 东 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,186万,"26,629元/平",118.789401,32.052566,江苏省南京市玄武区丹凤新寓,住宅区
迈皋桥 长营村 两室 采光好 诚心出售,长营村 ,2室1厅 | 56.74平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,95万,"16,744元/平",118.812860,32.104630,江苏省南京市栖霞区长营村,村庄
莫愁湖地铁口莫愁湖西路1号一楼带院子三房,莫愁湖西路1号 ,3室1厅 | 78.28平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,266万,"33,981元/平",118.756552,32.034449,江苏省南京市建邺区莫愁湖西路1号,门址
此房满五年 三开间朝南 采光无遮挡 诚心出售,天泓山庄竹山苑 ,3室1厅 | 135.1平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,4人关注 / 2个月以前发布,330万,"24,427元/平",118.841503,31.948062,江苏省南京市江宁区竹山,住宅区
朗诗青春街区 低总价 好楼层 配套完善,朗诗青春街区 ,3室2厅 | 75.59平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,4人关注 / 8个月以前发布,83万,"10,981元/平",118.850737,31.777761,江苏省南京市江宁区朗诗青春街区,住宅区
此房户型方正，中间楼层 采光好 地铁口 00年房龄,芦席营70号小区 ,2室1厅 | 55.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,135万,"24,493元/平",118.780928,32.079493,江苏省南京市鼓楼区芦席营70号小区,住宅区
商品房  秦淮河畔 视野开阔 无遮挡 芳凤29 不占用,汉中翠庭 ,3室2厅 | 115.52平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,19人关注 / 一年前发布,530万,"45,880元/平",,,,
大光路 电梯房 尚书公寓 2室 采光好 视野佳,尚书公寓 ,2室1厅 | 71.73平米 | 西 | 其他 | 中楼层(共25层)  | 板楼,295人关注 / 一年前发布,160万,"22,306元/平",118.809578,32.027723,江苏省南京市秦淮区尚书公寓,住宅区
万达商圈 双地铁 正规一室一厅 采光无遮挡 诚意出售,东银花园 ,1室1厅 | 50.26平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,79万,"15,719元/平",118.848137,31.946038,江苏省南京市江宁区东银花园,住宅区
明月花园，中间楼层，飞机户型三房两厅,明月花园 ,4室2厅 | 144.95平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 27天以前发布,319万,"22,008元/平",118.834098,31.947592,江苏省南京市江宁区明月花园,住宅区
改善洋房 中间楼层位置安静 纯毛坯没住过 看房方便,威尼斯水城第八街区 ,3室2厅 | 122.28平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 11天以前发布,199万,"16,275元/平",118.735062,32.141940,江苏省南京市浦口区北外滩水城十五街区第八街区,住宅区
月牙湖 商品房 小区房龄新 全明边户 采光好 有地下室,三金福邸 ,3室2厅 | 101.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 2个月以前发布,248万,"24,523元/平",118.835752,32.016317,江苏省南京市秦淮区三金·福邸,住宅区
珠江路明故宫后宰门中间楼层有车位可拎包住,后宰门西村 ,3室1厅 | 77.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,175万,"22,584元/平",118.817746,32.047658,江苏省南京市玄武区后宰门西村,村庄
中高楼层 品字户型 视野好 人车分流 花园小区,弘阳旭日上城三区 ,2室1厅 | 88.7平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,3人关注 / 5个月以前发布,139万,"15,671元/平",118.725499,32.141179,江苏省南京市浦口区弘阳·旭日上城三区,住宅区
市政天元城三室，中楼层，位置好 有储藏室 有车位,市政天元城 ,3室2厅 | 123.49平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,3人关注 / 1个月以前发布,298万,"24,132元/平",118.853012,31.936378,江苏省南京市江宁区花语座,住宅区
一口价房源，东边户，采光好，精装修，正规小区,富贵山小区 ,3室1厅 | 69.41平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,156万,"22,476元/平",118.820085,32.050137,江苏省南京市玄武区富贵山小区,住宅区
中间楼层，采光不挡，精装，满五年,弘阳旭日上城二区 ,3室2厅 | 94.05平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 31天以前发布,189万,"20,096元/平",,,,
采光好  楼层好  交通便利  配套设施齐全 满五唯一,凤凰西街229号 ,2室1厅 | 68.88平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,169万,"24,536元/平",118.754175,32.040802,江苏省南京市鼓楼区凤凰西街229号,门址
白马山庄 一楼带院 双南户型 边户全明,白马山庄 ,2室1厅 | 61.94平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,190万,"30,675元/平",118.816599,32.060763,江苏省南京市玄武区白马山庄,村庄
盘欣家园  3房  总价低  采光好,盘欣家园 ,3室2厅 | 98.09平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,78万,"7,952元/平",118.721234,32.208910,江苏省南京市浦口区盘欣家园,住宅区
主城区 住宅房 天妃宫、鼓楼区 环境好,证大大拇指广场 ,1室1厅 | 45.85平米 | 西 | 其他 | 中楼层(共31层)  | 塔楼,1人关注 / 6个月以前发布,112万,"24,428元/平",118.741762,32.090013,江苏省南京市鼓楼区证大大拇指广场,兴趣点
楼层好 看房方便 如意里 一枝园 结婚装修,如意里 ,3室1厅 | 66.7平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 6个月以前发布,225万,"33,734元/平",118.793375,32.047154,江苏省南京市玄武区如意里,住宅区
2008年商品房小区 钟英 精装修好出租,城开国际 ,1室1厅 | 41.74平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,2人关注 / 2个月以前发布,190万,"45,520元/平",118.786349,32.033939,江苏省南京市秦淮区城开国际,住宅区
带电梯有露台 采光好 不临街 房龄新 业主诚心卖,南理工竹园小区 ,3室2厅 | 115.33平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,380万,"32,949元/平",,,,
采光好 装修好 诚心卖 龙湖湖天街旁,新保弘领东苑B区 ,3室2厅 | 87.96平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,2人关注 / 2个月以前发布,212万,"24,102元/平",118.902941,32.023028,江苏省南京市江宁区新保弘·领东苑B区,住宅区
燕子矶 6.7双地铁 万象汇 中铁青秀城 位置好 保利朗诗,中国铁建青秀城 ,2室2厅 | 87.4平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,2人关注 / 2个月以前发布,199万,"22,769元/平",118.830328,32.116516,江苏省南京市栖霞区中国铁建·青秀城,住宅区
将军山下 森林氧吧 鸟语花香 静谧舒适 平视山景大顶跃,香山美墅 ,4室3厅 | 170平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,26人关注 / 4个月以前发布,498万,"29,295元/平",,,,
九龙湖畔 低楼层采光好 开发商装修 万科物业 诚心出售,万科金域蓝湾 ,3室2厅 | 88.04平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,21人关注 / 4个月以前发布,251万,"28,510元/平",118.832138,31.919514,江苏省南京市江宁区万科金域蓝湾,住宅区
近地铁 一楼 毛坯 优质房源 低总价 新交付,枫霞雅苑 ,2室1厅 | 69.64平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 暂无数据,2人关注 / 4个月以前发布,50万,"7,180元/平",118.988972,32.137814,江苏省南京市栖霞区枫霞雅苑,住宅区
居住人群素质高 楼间距宽 小区环境好  改善型小区,中海原山 ,4室2厅 | 123.4平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 9个月以前发布,265万,"21,475元/平",118.620412,32.048022,江苏省南京市浦口区中海原山,住宅区
视野好，纯湖景，全天采光不挡。,金地湖城艺境 ,3室2厅 | 95.95平米 | 南 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 20天以前发布,225万,"23,450元/平",118.980121,32.126603,江苏省南京市栖霞区金地湖城艺境,住宅区
满五年唯一 自住精装带租赁车位中间楼层位置好环境好,东城世家 ,2室1厅 | 82.76平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,149万,"18,004元/平",118.883725,32.124660,江苏省南京市栖霞区东城世家,住宅区
万达茂御湖仕家 户型方正 采光无遮挡 万达旁,万达茂御湖仕家三期 ,3室2厅 | 105.82平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,2人关注 / 9个月以前发布,216万,"20,413元/平",118.988953,32.122039,江苏省南京市栖霞区南京万达茂御湖仕家三期,住宅区
樱驼花园 樱铁村  总价低业主诚心售 出行方便配套齐,樱铁村小区 ,2室1厅 | 54.64平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,11人关注 / 一年前发布,75万,"13,727元/平",118.827287,32.086430,江苏省南京市玄武区樱铁村小区,住宅区
地铁口 中交荣域 精装 小三房，还有两个卫生间,中交荣域B区 ,3室1厅 | 95.37平米 | 南 | 精装 | 中楼层(共20层)  | 暂无数据,0人关注 / 21天以前发布,68.8万,"7,215元/平",118.890625,31.346482,江苏省南京市高淳区中交荣域B区,住宅区
新出月牙湖旁 2002年商品房 中间楼层 三房厅大 全明,阳光公寓 ,3室1厅 | 107平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,268万,"25,047元/平",118.650923,32.064388,江苏省南京市浦口区阳光公寓(南京工业大学地铁站店),兴趣点
南湖公园熙乐汇康福村一楼有院子精装修.,康福村 ,2室1厅 | 51.19平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,198万,"38,680元/平",,,,
药科大地铁口 大三房精装修 业主诚售,新华公寓祥和苑 ,3室2厅 | 103.78平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,112万,"10,793元/平",118.924685,31.894289,江苏省南京市江宁区新华公寓祥和苑,住宅区
精装修，1楼带院子，看房方便，总价低,北岭山庄 ,2室2厅 | 45.78平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,2人关注 / 1个月以前发布,22.8万,"4,981元/平",118.870587,31.329921,江苏省南京市高淳区北岭山庄,村庄
万达商圈 双地铁 正规一室一厅 采光无遮挡 诚意出售,东银花园 ,1室1厅 | 50.26平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,79万,"15,719元/平",118.848137,31.946038,江苏省南京市江宁区东银花园,住宅区
中高楼层 品字户型 视野好 人车分流 花园小区,弘阳旭日上城三区 ,2室1厅 | 88.7平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,3人关注 / 5个月以前发布,139万,"15,671元/平",118.725499,32.141179,江苏省南京市浦口区弘阳·旭日上城三区,住宅区
有车位(免费) 科利华 东边户 全明  南北通透 鼓楼地铁,高楼门 ,2室1厅 | 52.21平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,228万,"43,670元/平",118.786642,32.062133,江苏省南京市玄武区高楼门,道路
亚东城东区 三房 业主诚意出售 看房方便,亚东城东区 ,3室2厅 | 107.64平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,5人关注 / 1个月以前发布,320万,"29,729元/平",118.913823,32.091585,江苏省南京市栖霞区亚东城东区,住宅区
威尼斯水城第十二街区，地铁口，精装修两居室，诚售！,威尼斯水城第十二街区 ,2室2厅 | 88.56平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 2个月以前发布,125万,"14,115元/平",118.733708,32.155048,江苏省南京市浦口区北外滩水城十五街区第十二街区,住宅区
一楼带院子实际面积多15平方满五唯一瑞金路瑞金北村,瑞金北村 ,2室1厅 | 48.47平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,230万,"47,453元/平",118.811587,32.035704,江苏省南京市秦淮区瑞金北村,村庄
电梯房 南北通透户型方正 楼层好 三居室,裕顺雅苑 ,3室1厅 | 98.55平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,2人关注 / 15天以前发布,412万,"41,807元/平",118.746672,32.063593,江苏省南京市鼓楼区裕顺雅苑,住宅区
苏宁璞邸 精装电梯两房 中间楼层 南北通透 品质小区,苏宁璞邸 ,2室2厅 | 77.74平米 | 北 南 | 简装 | 中楼层(共11层)  | 板楼,11人关注 / 一年前发布,480万,"61,745元/平",,,,
小区绿化好，爬楼方便，诚心出售,御水湾花园 ,2室1厅 | 88.6平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,4人关注 / 1个月以前发布,285万,"32,168元/平",118.816812,32.015387,江苏省南京市秦淮区御水湾花园,住宅区
弘阳时光里 自住装修30万含车位 套内面积大 人车分流,弘阳时光里一区 ,3室2厅 | 74.5平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,198万,"26,578元/平",118.724189,32.140230,江苏省南京市浦口区弘阳,村庄
苜蓿园 月牙湖畔 紫金山下 湖景仁恒电梯全明三房,梅花山庄湖畔之星 ,3室2厅 | 132.14平米 | 南 北 | 其他 | 高楼层(共26层)  | 塔楼,0人关注 / 27天以前发布,420万,"31,785元/平",118.831827,32.030718,江苏省南京市秦淮区梅花山庄·湖畔之星,住宅区
琴韵华庭，得房率高，户型方正。,琴韵华庭 ,2室2厅 | 97.66平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,42万,"4,301元/平",119.036028,31.673728,江苏省南京市溧水区琴韵华庭,住宅区
装修不错   业主诚心出售   户型好  楼层采光好,燕歌园2园 ,1室1厅 | 45.79平米 | 南 | 其他 | 中楼层(共24层)  | 塔楼,2人关注 / 2个月以前发布,62万,"13,541元/平",118.856188,32.117090,江苏省南京市栖霞区燕歌园2区,门址
文鼎雅苑 精装三房 楼层好 视野佳 看房随时,文鼎雅苑 ,3室2厅 | 108.54平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,3人关注 / 7个月以前发布,195万,"17,966元/平",118.911415,31.909148,江苏省南京市江宁区文鼎雅苑,住宅区
世茂璀璨睿湾 次新房  精装修  河西南岸,世茂璀璨睿湾 ,3室2厅 | 117.74平米 | 东南 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,280万,"23,782元/平",118.704820,31.950767,江苏省南京市雨花台区世茂·璀璨睿湾,住宅区
近地铁 次新房 23年交付小区 华侨城物业 小区环境好,燕熙台B区 ,3室2厅 | 105.58平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 6个月以前发布,298万,"28,226元/平",118.837377,32.138880,江苏省南京市栖霞区燕熙台(南门),兴趣点
